sl.no,word,mood,score
1,abnormal,negative,-1
2,abolish,negative,-1
3,abominable,negative,-1
4,abominably,negative,-1
5,abominate,negative,-1
6,abomination,negative,-1
7,abort,negative,-1
8,aborted,negative,-1
9,aborts,negative,-1
10,abound,positive,1
11,abounds,positive,1
12,abrade,negative,-1
13,abrasive,negative,-1
14,abrupt,negative,-1
15,abruptly,negative,-1
16,abscond,negative,-1
17,absence,negative,-1
18,absentee,negative,-1
19,absent-minded,negative,-1
20,absurd,negative,-1
21,absurdity,negative,-1
22,absurdly,negative,-1
23,absurdness,negative,-1
24,abundance,positive,1
25,abundant,positive,1
26,abuse,negative,-1
27,abused,negative,-1
28,abuses,negative,-1
29,abusive,negative,-1
30,abysmal,negative,-1
31,abysmally,negative,-1
32,abyss,negative,-1
33,accessable,positive,1
34,accessible,positive,1
35,accidental,negative,-1
36,acclaim,positive,1
37,acclaimed,positive,1
38,acclamation,positive,1
39,accolade,positive,1
40,accolades,positive,1
41,accommodative,positive,1
42,accomodative,positive,1
43,accomplish,positive,1
44,accomplished,positive,1
45,accomplishment,positive,1
46,accomplishments,positive,1
47,accost,negative,-1
48,accurate,positive,1
49,accurately,positive,1
50,accursed,negative,-1
51,accusation,negative,-1
52,accusations,negative,-1
53,accuse,negative,-1
54,accuses,negative,-1
55,accusing,negative,-1
56,accusingly,negative,-1
57,acerbate,negative,-1
58,acerbic,negative,-1
59,acerbically,negative,-1
60,ache,negative,-1
61,ached,negative,-1
62,aches,negative,-1
63,achey,negative,-1
64,achievable,positive,1
65,achievement,positive,1
66,achievements,positive,1
67,achievible,positive,1
68,aching,negative,-1
69,acrid,negative,-1
70,acridly,negative,-1
71,acridness,negative,-1
72,acrimonious,negative,-1
73,acrimoniously,negative,-1
74,acrimony,negative,-1
75,acumen,positive,1
76,adamant,negative,-1
77,adamantly,negative,-1
78,adaptable,positive,1
79,adaptive,positive,1
80,addict,negative,-1
81,addicted,negative,-1
82,addicting,negative,-1
83,addicts,negative,-1
84,adequate,positive,1
85,adjustable,positive,1
86,admirable,positive,1
87,admirably,positive,1
88,admiration,positive,1
89,admire,positive,1
90,admirer,positive,1
91,admiring,positive,1
92,admiringly,positive,1
93,admonish,negative,-1
94,admonisher,negative,-1
95,admonishingly,negative,-1
96,admonishment,negative,-1
97,admonition,negative,-1
98,adorable,positive,1
99,adore,positive,1
100,adored,positive,1
101,adorer,positive,1
102,adoring,positive,1
103,adoringly,positive,1
104,adroit,positive,1
105,adroitly,positive,1
106,adulate,positive,1
107,adulation,positive,1
108,adulatory,positive,1
109,adulterate,negative,-1
110,adulterated,negative,-1
111,adulteration,negative,-1
112,adulterier,negative,-1
113,advanced,positive,1
114,advantage,positive,1
115,advantageous,positive,1
116,advantageously,positive,1
117,advantages,positive,1
118,adventuresome,positive,1
119,adventurous,positive,1
120,adversarial,negative,-1
121,adversary,negative,-1
122,adverse,negative,-1
123,adversity,negative,-1
124,advocate,positive,1
125,advocated,positive,1
126,advocates,positive,1
127,affability,positive,1
128,affable,positive,1
129,affably,positive,1
